t,S,B,M
0.000000,0.800000,0.001000,0.001000
0.048000,0.815863,0.044167,0.000909
0.096000,0.828185,0.082730,0.000826
0.144000,0.837125,0.117287,0.000751
0.192000,0.842994,0.148365,0.000684
0.240000,0.846166,0.176420,0.000622
0.288000,0.847025,0.201847,0.000567
0.336000,0.845933,0.224986,0.000517
0.384000,0.843221,0.246130,0.000471
0.432000,0.839179,0.265529,0.000430
0.480000,0.834061,0.283401,0.000393
0.528000,0.828081,0.299931,0.000359
0.576000,0.821424,0.315281,0.000329
0.624000,0.814243,0.329589,0.000302
0.672000,0.806669,0.342974,0.000277
0.720000,0.798809,0.355540,0.000255
0.768000,0.790753,0.367376,0.000235
0.816000,0.782574,0.378561,0.000217
0.864000,0.774334,0.389160,0.000200
0.912000,0.766081,0.399234,0.000186
0.960000,0.757856,0.408833,0.000173
1.008000,0.749692,0.418000,0.000161
1.056000,0.741615,0.426776,0.000150
1.104000,0.733645,0.435193,0.000141
1.152000,0.725799,0.443281,0.000133
1.200000,0.718089,0.451067,0.000125
1.248000,0.710525,0.458573,0.000119
1.296000,0.703113,0.465820,0.000113
1.344000,0.695858,0.472824,0.000108
1.392000,0.688764,0.479603,0.000103
1.440000,0.681832,0.486169,0.000100
1.488000,0.675062,0.492536,0.000096
1.536000,0.668454,0.498715,0.000093
1.584000,0.662008,0.504715,0.000091
1.632000,0.655720,0.510545,0.000089
1.680000,0.649590,0.516214,0.000087
1.728000,0.643615,0.521730,0.000086
1.776000,0.637792,0.527098,0.000085
1.824000,0.632117,0.532324,0.000084
1.872000,0.626589,0.537415,0.000084
1.920000,0.621203,0.542376,0.000084
1.968000,0.615957,0.547211,0.000083
2.016000,0.610847,0.551924,0.000084
2.064000,0.605869,0.556520,0.000084
2.112000,0.601021,0.561002,0.000084
2.160000,0.596298,0.565374,0.000085
2.208000,0.591699,0.569639,0.000086
2.256000,0.587220,0.573801,0.000087
2.304000,0.582857,0.577862,0.000088
2.352000,0.578608,0.581824,0.000089
2.400000,0.574469,0.585692,0.000090
2.448000,0.570437,0.589466,0.000091
2.496000,0.566511,0.593151,0.000092
2.544000,0.562686,0.596747,0.000093
2.592000,0.558961,0.600258,0.000095
2.640000,0.555332,0.603685,0.000096
2.688000,0.551797,0.607030,0.000098
2.736000,0.548353,0.610295,0.000099
2.784000,0.544999,0.613483,0.000101
2.832000,0.541731,0.616595,0.000102
2.880000,0.538547,0.619632,0.000104
2.928000,0.535446,0.622597,0.000106
2.976000,0.532424,0.625492,0.000107
3.024000,0.529480,0.628317,0.000109
3.072000,0.526612,0.631075,0.000111
3.120000,0.523818,0.633767,0.000112
3.168000,0.521095,0.636395,0.000114
3.216000,0.518442,0.638959,0.000116
3.264000,0.515857,0.641462,0.000117
3.312000,0.513339,0.643905,0.000119
3.360000,0.510885,0.646290,0.000121
3.408000,0.508494,0.648617,0.000123
3.456000,0.506164,0.650888,0.000124
3.504000,0.503893,0.653104,0.000126
3.552000,0.501680,0.655267,0.000128
3.600000,0.499524,0.657377,0.000129
3.648000,0.497423,0.659436,0.000131
3.696000,0.495376,0.661446,0.000133
3.744000,0.493380,0.663406,0.000134
3.792000,0.491436,0.665319,0.000136
3.840000,0.489541,0.667186,0.000138
3.888000,0.487694,0.669007,0.000139
3.936000,0.485894,0.670783,0.000141
3.984000,0.484139,0.672517,0.000142
4.032000,0.482430,0.674208,0.000144
4.080000,0.480764,0.675858,0.000145
4.128000,0.479140,0.677467,0.000147
4.176000,0.477557,0.679037,0.000149
4.224000,0.476014,0.680568,0.000150
4.272000,0.474510,0.682062,0.000152
4.320000,0.473045,0.683519,0.000153
4.368000,0.471616,0.684941,0.000154
4.416000,0.470224,0.686327,0.000156
4.464000,0.468867,0.687679,0.000157
4.512000,0.467544,0.688998,0.000159
4.560000,0.466255,0.690285,0.000160
4.608000,0.464998,0.691539,0.000161
4.656000,0.463773,0.692763,0.000163
4.704000,0.462578,0.693956,0.000164
4.752000,0.461414,0.695120,0.000165
4.800000,0.460280,0.696256,0.000167
4.848000,0.459174,0.697363,0.000168
4.896000,0.458095,0.698442,0.000169
4.944000,0.457044,0.699495,0.000171
4.992000,0.456019,0.700522,0.000172
5.040000,0.455020,0.701523,0.000173
5.088000,0.454046,0.702500,0.000174
5.136000,0.453097,0.703452,0.000175
5.184000,0.452172,0.704381,0.000176
5.232000,0.451270,0.705287,0.000177
5.280000,0.450390,0.706170,0.000179
5.328000,0.449533,0.707031,0.000180
5.376000,0.448697,0.707871,0.000181
5.424000,0.447882,0.708690,0.000182
5.472000,0.447087,0.709488,0.000183
5.520000,0.446312,0.710267,0.000184
5.568000,0.445557,0.711027,0.000185
5.616000,0.444821,0.711767,0.000186
5.664000,0.444103,0.712489,0.000187
5.712000,0.443403,0.713193,0.000188
5.760000,0.442721,0.713880,0.000189
5.808000,0.442056,0.714549,0.000189
5.856000,0.441407,0.715202,0.000190
5.904000,0.440774,0.715839,0.000191
5.952000,0.440158,0.716459,0.000192
6.000000,0.439557,0.717065,0.000193
6.048000,0.438971,0.717655,0.000194
6.096000,0.438399,0.718231,0.000195
6.144000,0.437842,0.718792,0.000195
6.192000,0.437298,0.719339,0.000196
6.240000,0.436769,0.719873,0.000197
6.288000,0.436252,0.720393,0.000198
6.336000,0.435748,0.720900,0.000198
6.384000,0.435257,0.721395,0.000199
6.432000,0.434778,0.721877,0.000200
6.480000,0.434311,0.722348,0.000200
6.528000,0.433856,0.722807,0.000201
6.576000,0.433412,0.723254,0.000202
6.624000,0.432979,0.723690,0.000202
6.672000,0.432557,0.724115,0.000203
6.720000,0.432145,0.724530,0.000204
6.768000,0.431744,0.724934,0.000204
6.816000,0.431352,0.725329,0.000205
6.864000,0.430971,0.725713,0.000205
6.912000,0.430598,0.726088,0.000206
6.960000,0.430235,0.726454,0.000207
7.008000,0.429882,0.726810,0.000207
7.056000,0.429537,0.727158,0.000208
7.104000,0.429200,0.727497,0.000208
7.152000,0.428872,0.727828,0.000209
7.200000,0.428552,0.728150,0.000209
7.248000,0.428240,0.728465,0.000210
7.296000,0.427936,0.728771,0.000210
7.344000,0.427639,0.729070,0.000211
7.392000,0.427349,0.729362,0.000211
7.440000,0.427067,0.729646,0.000212
7.488000,0.426792,0.729923,0.000212
7.536000,0.426524,0.730193,0.000212
7.584000,0.426262,0.730457,0.000213
7.632000,0.426007,0.730714,0.000213
7.680000,0.425758,0.730965,0.000214
7.728000,0.425515,0.731209,0.000214
7.776000,0.425279,0.731448,0.000214
7.824000,0.425048,0.731680,0.000215
7.872000,0.424823,0.731907,0.000215
